persona_id,cty_cd,dist_id,score
P01,11050,11050670_060,0.711
P01,11050,11050530_011,0.704
P01,11050,11050650_030,0.688
P01,11050,11050610_060,0.683
P01,11050,11050530_020,0.672
P01,11050,11050530_040,0.665
P01,11050,11050560_020,0.646
P01,11050,11050550_030,0.633
P01,11050,11050590_030,0.632
P01,11050,11050530_030,0.625
P02,11050,11050570_060,0.735
P02,11050,11050570_040,0.717
P02,11050,11050670_060,0.694
P02,11050,11050580_012,0.666
P02,11050,11050610_060,0.663
P02,11050,11050540_030,0.655
P02,11050,11050570_050,0.653
P02,11050,11050530_011,0.644
P02,11050,11050570_030,0.634
P02,11050,11050590_040,0.633
P03,11050,11050650_030,0.686
P03,11050,11050620_030,0.638
P03,11050,11050630_090,0.636
P03,11050,11050630_100,0.632
P03,11050,11050590_030,0.631
P03,11050,11050570_010,0.62
P03,11050,11050540_010,0.613
P03,11050,11050570_050,0.612
P03,11050,11050560_020,0.61
P03,11050,11050550_040,0.608
P04,11050,11050530_030,1.0
P04,11050,11050570_040,0.988
P04,11050,11050570_060,0.973
P04,11050,11050670_060,0.927
P04,11050,11050610_070,0.841
P04,11050,11050650_030,0.753
P04,11050,11050580_012,0.716
P04,11050,11050610_060,0.708
P04,11050,11050530_021,0.704
P04,11050,11050530_040,0.685
P05,11050,11050630_010,0.868
P05,11050,11050610_020,0.731
P05,11050,11050630_021,0.666
P05,11050,11050630_080,0.631
P05,11050,11050530_030,0.614
P05,11050,11050670_030,0.585
P05,11050,11050620_030,0.585
P05,11050,11050630_030,0.585
P05,11050,11050630_150,0.585
P05,11050,11050580_021,0.578
P06,11050,11050670_060,0.737
P06,11050,11050530_011,0.724
P06,11050,11050550_030,0.715
P06,11050,11050610_060,0.713
P06,11050,11050530_040,0.704
P06,11050,11050540_030,0.699
P06,11050,11050650_030,0.684
P06,11050,11050540_010,0.675
P06,11050,11050560_020,0.669
P06,11050,11050530_021,0.661
P07,11050,11050590_020,0.781
P07,11050,11050530_011,0.759
P07,11050,11050550_050,0.748
P07,11050,11050570_020,0.746
P07,11050,11050550_020,0.745
P07,11050,11050620_050,0.745
P07,11050,11050670_030,0.738
P07,11050,11050640_030,0.733
P07,11050,11050670_060,0.73
P07,11050,11050530_021,0.73
P08,11050,11050650_030,0.832
P08,11050,11050570_010,0.692
P08,11050,11050620_030,0.689
P08,11050,11050530_040,0.647
P08,11050,11050670_020,0.634
P08,11050,11050630_090,0.625
P08,11050,11050540_010,0.588
P08,11050,11050660_060,0.588
P08,11050,11050550_050,0.585
P08,11050,11050660_070,0.568
P09,11050,11050580_010,0.662
P09,11050,11050650_060,0.646
P09,11050,11050630_022,0.645
P09,11050,11050630_110,0.639
P09,11050,11050630_021,0.623
P09,11050,11050610_031,0.615
P09,11050,11050610_020,0.61
P09,11050,11050620_020,0.609
P09,11050,11050550_050,0.608
P09,11050,11050630_150,0.601
P10,11050,11050670_060,0.711
P10,11050,11050530_011,0.704
P10,11050,11050650_030,0.688
P10,11050,11050610_060,0.683
P10,11050,11050530_020,0.672
P10,11050,11050530_040,0.665
P10,11050,11050560_020,0.646
P10,11050,11050550_030,0.633
P10,11050,11050590_030,0.632
P10,11050,11050530_030,0.625
